copd_rrmse,mntl_bh_p_rate,circ_rrmse,mntl_bh_p_rrmse,respirtry_rrmse,asthma_rrmse,area_code,hypertens_rrmse,hg_choles_rate,asthma_rate,diabetes_rate,musculo_rrmse,respirtry_rate,arthritis_rate,musculo_rate,hypertens_rate,circ_rate,arthritis_rrmse,diabetes_rrmse,copd_rate,hg_choles_rrmse
3,14.16271654,3,3,3,3,10050,3,33.25849408,12.54277803,4.702928736,3,31.83842053,15.74050469,30.07627716,10.69899449,18.23206838,3,3,2.759038935,3
3,14.19180205,3,3,3,3,10110,3,33.12018833,12.61451601,4.683226203,3,31.50842573,16.13707608,31.02670523,11.12563937,19.31259298,3,3,2.938993641,3
3,11.8739274,3,3,3,3,10150,3,31.30360698,6.441718207,7.319756105,3,22.99352097,12.8479745,25.60162257,10.07808469,16.75227807,3,3,2.059021715,3
3,12.37535151,3,3,3,3,10200,3,30.9038471,6.717288235,10.82455882,3,20.56401359,15.07988722,24.82723167,10.78269784,17.66676091,3,3,2.123881807,3
3,14.62596275,3,3,3,3,10250,3,32.89488581,12.80746582,4.495362639,3,32.18818007,15.59662752,29.88087937,10.04276895,18.46552425,3,3,3.000912731,3
1,13.77221853,3,3,3,3,10300,1,32.24483533,11.38522931,4.966992293,3,31.24508042,15.63590688,29.57774999,10.5023228,18.81413654,3,1,2.743626171,3
3,12.53363974,3,3,3,3,10350,3,31.30261991,8.40956161,8.00898783,3,26.99637932,15.39530304,27.23994623,10.76668215,18.38519858,3,3,2.591751136,3
3,14.01958476,3,3,3,3,10470,3,34.92131237,12.46414571,4.586132192,3,31.69546292,15.81501396,29.92351287,10.67691631,18.55104646,3,3,2.980063607,3
3,14.51056459,3,3,3,3,10550,3,33.62882496,11.85914735,4.636206914,3,29.15778601,15.78968337,29.25533869,10.09699722,17.82578669,3,3,2.864566931,3
3,15.50108929,3,3,3,3,10600,3,32.45813409,11.4684007,4.611119622,3,28.57577406,16.71231755,30.32812338,10.24918712,18.45680326,3,3,2.926146008,3
1,13.50588927,3,3,3,3,10650,3,35.59907084,12.00336432,4.646869092,3,28.13225596,16.04443047,29.89775211,10.33042176,18.46360828,3,1,2.760869168,3
3,11.86382873,3,3,3,3,10750,3,31.29271694,8.664349146,7.815828571,3,25.33528921,13.93196477,26.65142539,11.25096086,17.68081792,3,3,2.623015478,3
1,12.89877177,3,3,3,3,10800,3,33.84186198,11.50741839,4.615639272,3,28.43252363,17.46916166,30.01048158,10.43812176,18.41794987,3,1,2.881468218,3
3,12.89648987,3,3,3,3,10850,3,34.66119556,11.45218703,4.616154033,3,32.04584401,15.57366393,30.32484573,10.95248588,18.0180089,3,3,2.916443209,3
3,13.32082466,3,3,3,3,10900,3,32.81960764,11.32388126,3.982896692,3,30.97638804,14.18919863,28.4709849,10.19760179,17.35304804,3,3,2.537770381,3
1,13.31845926,3,3,3,3,10950,1,34.94019487,10.95328942,4.903275285,3,31.59443438,16.53729307,29.56367929,10.64888711,20.64134377,3,1,2.919859247,3
