digestive_rate,total_rate,mental_sig,gen_sig,mental_rate,injury_sig,gen_rate,myr_rate,total_fem_rate,total_male_rate,cancer_sig,ren_rate,ren_sig,rsp_sig,ton_rate,injury_rate,total_male_sig,can_rate,area_code,infc_rate,myr_sig,infc_sig,digestive_sig,rsp_rate,total_sig,total_fem_sig,ton_sig,crc_sig,msc_sig,msc_rate,crc_rate
4301.063633,37194.95248,2,2,1915.513484,2,2156.749524,1101.442309,3,2,2,null,3,2,404.246551,3022.747368,35485.07486,2921.00541,10050,491.8500279,3,2,1,2024.882479,2,38943.72864,2,2,2,2552.076934,2718.866018
3929.072018,29593.71257,2,2,1171.993192,2,1685.038534,780.0716612,2,2,2,null,3,3,189.0723609,2030.817538,28150.447,1982.421369,10110,505.1065545,3,1,3,1805.579718,2,30964.31327,3,1,1,1958.859987,2103.091291
4860.576395,37949.06961,2,2,1345.837531,2,2221.837463,920.5650695,2,2,3,6681.45315,2,3,181.9971904,3148.959224,35461.54491,2721.768551,10250,528.8835386,3,2,2,1812.714397,2,40326.08484,3,2,3,2127.77862,2515.993089
4416.651859,45377.52792,3,3,null,3,null,null,2,2,3,null,3,3,null,null,40673.35173,2993.311043,10300,null,3,3,3,null,2,49591.53469,3,2,2,3169.038004,4148.441632
3476.927406,30022.08655,2,2,1180.474363,2,1802.50545,588.1129487,2,2,2,5221.995733,2,3,211.0581018,2274.433347,27965.71793,1892.517577,10350,620.94848,2,3,2,1818.963272,2,31973.3848,3,2,2,1636.62712,2187.477239
4088.847908,31042.11382,2,2,1343.687942,3,1676.557833,1120.208905,2,2,2,6250.663844,2,3,323.3101459,2748.738932,29500.20325,2422.242548,10470,577.9269518,3,3,3,1857.055759,2,32755.55908,2,3,2,1836.163728,2447.455805
3673.331442,31349.70351,3,2,null,2,1552.580248,734.5064594,2,2,3,null,3,2,212.9338617,3265.497477,28520.09718,2530.827391,10550,null,1,3,2,2013.739843,2,33881.13154,3,3,2,1992.869383,2284.001303
4324.010425,35898.88691,2,3,978.7347316,2,1955.313036,null,3,3,2,null,3,2,162.1603348,3731.739671,33858.42102,2264.822856,10600,null,3,3,3,2200.690056,3,37519.55275,3,3,3,2175.58642,2362.993407
4331.506939,37499.71678,3,3,null,3,2040.198966,1185.627375,3,2,3,null,3,2,222.8523998,2927.442373,36636.33827,2825.185339,10650,null,3,3,3,2651.614211,2,37679.10738,3,1,2,2833.804045,2666.554455
3186.43522,30129.491,3,3,null,3,1909.141306,null,3,2,3,null,3,3,null,2534.541024,26224.08427,2021.923344,46860,null,3,3,3,null,2,34394.56734,3,3,1,3016.051219,null
3106.387071,26841.81592,2,2,2665.470155,2,1346.678629,625.1606987,2,2,2,5478.497457,3,2,138.1832061,1950.222785,23756.10844,1640.439484,10150,356.6366688,2,2,2,1336.727767,2,29896.17839,2,2,2,1251.402347,1479.621864
3374.370018,32624.47102,2,2,1739.295032,2,1708.365109,447.3161514,2,2,2,null,3,3,152.3263667,2239.44716,30325.38413,1622.797374,10200,662.7157969,2,3,2,1816.084892,2,35479.53433,2,2,2,1194.547304,2156.22782
null,null,3,3,null,3,null,null,3,3,3,null,3,3,null,null,null,null,56860,null,3,3,3,null,3,null,3,3,3,null,null
3430.417498,31412.94352,2,2,1601.23052,2,1620.900746,541.02689,2,2,2,6182.772134,2,3,155.3727364,2313.541117,29493.10855,1798.501135,10750,612.570936,2,3,2,1842.049056,2,33311.56846,2,3,2,1575.269148,2278.918417
5186.697346,42113.00838,2,1,856.5246464,2,2330.39225,1199.74946,2,2,3,null,3,2,329.7448752,4076.694469,39118.77314,2855.470308,10800,null,3,3,2,2864.095726,2,45017.44175,3,2,2,2809.668454,3866.063466
3812.966947,32689.7465,1,3,1851.945943,1,1824.752918,1904.434115,3,2,1,null,3,1,467.5625839,3086.086014,28108.75184,2274.362338,10850,null,1,3,3,2089.895459,2,37134.71375,2,3,3,2167.074907,2366.188661
3184.067878,27702.32656,2,2,1702.967637,2,1423.694493,713.6395993,2,2,2,null,3,2,139.32991,2297.087435,25182.28473,2011.231366,10900,461.110537,2,2,2,1453.935767,2,30235.51797,2,2,2,1750.515326,1637.236892
3500.828803,40703.22648,3,3,null,3,2140.756269,null,2,2,2,null,3,3,null,null,36612.10991,1852.96374,10950,null,3,3,3,null,2,44361.49067,3,3,1,1656.132614,null
4286.90552,35399.95453,3,3,null,3,null,null,3,3,2,null,3,3,null,null,32541.88677,1892.930272,11000,null,3,3,3,null,3,38366.15842,3,2,3,2590.45579,3363.213044
3795.765446,35487.59233,1,3,2068.849134,3,null,null,3,3,3,null,3,3,null,null,30125.09995,null,11050,null,3,3,3,null,3,41021.35827,3,3,3,1782.019333,null
3635.66816,33433.03818,3,1,1611.456764,2,2078.595232,995.9321683,1,2,2,8524.237186,2,1,217.1312827,2101.39753,29418.46147,2354.335058,11100,614.5489142,3,3,2,1643.333466,2,37409.50607,3,2,2,1711.587378,2552.992914
4710.418373,46152.7965,3,3,null,3,null,null,2,2,2,null,3,3,null,null,38268.03084,3906.007168,11150,null,3,3,3,null,2,53052.06379,3,3,3,2161.141236,null
4009.949988,42230.73401,3,3,null,3,null,null,2,1,3,null,3,3,null,null,37510.7372,null,11200,null,3,3,3,null,2,47453.60645,3,3,3,null,null
4128.438395,34711.4275,3,3,null,2,1751.700378,912.8630734,1,3,3,7116.730712,2,2,314.4754743,3006.704975,32375.15589,2794.992078,11250,null,3,3,3,2205.610496,1,37170.5533,1,3,2,2719.926174,2443.925265
3595.299195,32399.85085,3,2,1505.885649,2,1813.121687,747.1427063,2,2,2,null,3,2,211.0367329,2398.002307,30046.88942,1935.493265,11500,725.8816095,2,2,2,2249.096128,2,34609.68867,3,3,3,2172.523487,2313.026423
3624.955857,31503.71896,2,2,2757.229719,2,1621.371456,980.7312278,2,2,2,4360.278313,2,2,185.9749756,1766.312832,27745.53564,1934.622014,11520,405.9226572,3,2,2,1352.982553,2,35117.9991,1,2,2,1630.894847,1793.54291
3518.626876,26735.53801,2,2,1293.619635,2,1612.981606,491.0432348,2,2,2,7195.545467,2,2,171.0749567,1757.02271,24330.95785,1761.122667,11550,492.6654242,2,2,2,1684.963971,2,29112.32901,2,2,2,1395.128728,1919.947909
4491.962251,43450.38083,3,2,null,3,2734.563332,null,2,2,2,null,3,2,null,null,41927.78046,1555.6714,11600,null,3,3,3,2968.907869,2,44831.62481,3,2,3,1960.926821,3428.683486
4237.984417,45801.49605,3,3,null,3,null,null,2,3,3,null,3,3,null,null,35846.72683,2596.062285,11700,null,3,3,3,null,2,57537.61235,3,3,3,2508.984067,null
3640.729564,34338.8367,2,2,1009.898173,2,1732.352135,608.3793875,3,2,2,null,3,3,149.1001627,2405.925887,31070.0439,3173.281274,11720,579.3838855,2,3,2,1721.657233,2,37761.33096,2,2,2,2564.501107,2517.470589
2853.929858,25813.70914,2,2,2116.06375,2,1240.460149,594.7103261,2,2,2,4809.91169,2,2,167.3787252,1493.237772,23705.45336,1650.093492,11300,390.6092162,2,2,2,1579.074655,2,28019.60969,1,2,2,1394.85307,1564.819431
3971.776737,33910.05633,2,2,1876.17971,2,1649.471199,928.6884624,2,3,1,2157.392142,2,3,152.7416604,3062.93696,31883.10082,2862.837396,11350,518.7699657,3,1,3,1786.272716,2,35740.09232,2,3,2,1854.176098,2432.898053
3991.150093,31407.05249,3,2,1676.486976,2,1536.81711,705.5605772,2,2,2,null,3,2,355.3710249,3198.189809,29219.60545,2062.080147,11400,null,3,3,3,2211.767063,2,33282.64307,2,3,3,2168.178404,2329.486399
4488.819659,35047.26676,2,3,1143.838666,2,1983.541797,1366.954227,2,3,2,null,3,2,305.6057146,2376.42293,33156.9949,2228.359852,11450,681.8802405,2,3,2,1965.650893,1,36816.57461,2,3,2,2531.734235,2289.149113
4113.617827,38017.68767,2,2,1230.042178,2,2271.086425,688.4847652,2,2,2,6724.170426,2,2,265.9930946,3641.079727,35789.84101,3205.282745,11730,757.5001862,2,2,3,2367.018484,2,39865.17822,3,2,2,2432.099367,2780.417867
5321.09035,46131.66569,3,3,null,2,2051.025248,null,2,2,2,null,3,2,414.1189898,4983.873665,43719.62186,1875.866543,11750,null,3,3,2,3579.665714,2,48909.21396,2,2,1,2714.340668,4277.855889
4122.827101,36028.73926,2,3,1211.45362,2,1836.6732,688.2668982,3,2,2,null,3,3,190.2509188,2902.740341,33669.64709,2139.430407,11800,606.6534222,2,3,3,1732.521246,1,38175.51845,1,2,2,2763.377306,2161.595257
null,13043.5256,3,3,null,3,null,null,2,2,3,null,3,3,null,null,11996.71666,null,11860,null,3,3,3,null,2,14046.3116,3,3,3,null,null
5012.959022,46509.60688,3,2,null,2,2846.720206,null,2,2,3,null,3,2,464.6379893,4366.165571,45531.04082,2908.533029,12000,null,3,3,2,3992.492793,2,47141.21703,2,2,2,2857.693179,4170.878987
3846.705875,28622.26995,3,2,null,3,1332.198255,null,2,2,2,null,3,3,157.5595134,2658.424206,26584.28145,1882.495703,12050,null,3,3,3,1957.053999,2,30587.78499,3,3,3,2125.866002,2531.803226
3917.909586,41294.08149,3,3,null,2,1810.818278,1750.056401,2,2,2,null,3,3,478.323101,4680.397711,37251.34231,2006.360924,12150,null,3,3,3,null,2,44928.26892,2,2,3,2256.833735,4178.040139
6468.780008,45019.60717,3,2,1323.752069,2,2521.698183,null,2,2,3,null,3,2,422.7198775,4461.869493,44785.29709,2951.847826,12200,null,3,3,2,2780.180158,2,44819.2187,2,2,3,2220.700637,4030.536031
4489.193482,37139.85647,3,3,1592.977304,1,1991.154927,1105.138449,3,2,2,4945.344408,2,2,594.5256665,3005.06791,35679.84088,3138.491729,12300,null,3,3,1,2199.385227,2,37985.0057,2,1,2,2657.108899,2626.623718
3708.208877,30088.37437,2,2,1886.635982,2,1385.822208,1601.678113,2,2,2,null,3,3,190.627784,3403.402532,29153.372,1867.336181,12350,null,3,3,1,1929.909488,2,30800.36676,3,2,2,1837.46704,1975.755852
6541.164402,50332.33673,3,2,1531.411884,2,2803.22004,2336.66948,2,2,2,null,3,2,464.9183392,4821.396559,46553.68243,3967.76363,12500,null,2,3,2,3078.773956,2,53776.87373,2,2,2,3133.926218,3387.385127
3867.775689,31862.11674,2,2,1018.673637,2,2306.814816,2316.372228,2,2,2,null,3,2,481.5383869,2341.672796,30067.21383,1969.323002,12600,741.6675628,2,2,1,2220.196247,2,33396.90544,2,2,2,1764.845035,3041.80754
3489.926544,35972.33503,1,2,1864.332533,3,3405.509532,null,3,3,1,null,3,3,262.2693418,2825.715597,34160.91241,2303.550371,12700,null,3,3,2,1761.969144,3,37297.01867,3,2,3,2375.954093,3108.427131
5363.286148,32333.46438,2,2,2095.905008,2,1398.097097,579.2581748,2,2,2,null,3,3,144.3187515,3023.400539,30042.57972,2358.154579,12750,null,2,3,2,1847.831806,2,34281.99959,2,2,2,1949.811108,2559.739481
3604.696397,25243.37228,2,2,798.8267961,2,1471.95118,388.0418295,2,2,2,null,3,1,159.7369069,1838.585889,23260.62641,1686.015826,12850,578.2553304,2,2,2,1721.689018,2,27077.94572,2,2,2,1240.987403,1876.252036
4319.76412,37402.26831,3,3,1569.048694,2,1760.288101,1915.586455,3,2,3,null,3,2,355.4206793,3583.459347,36569.38695,2774.577621,12900,null,2,3,3,2659.672697,2,37983.85897,2,2,2,2665.763917,2976.255294
4176.629017,31107.61564,3,3,null,3,1636.562866,null,2,1,3,null,3,3,275.4178516,null,30015.55644,2270.835114,12950,null,3,3,3,null,2,31884.19978,3,2,1,1692.735699,2985.046436
4488.733523,35490.25585,3,3,null,2,1817.000013,null,3,3,2,null,3,2,124.0563008,3318.253074,31601.90337,2094.684443,13010,null,3,3,1,2677.253668,3,39549.46349,3,3,3,2243.656056,2333.497865
4060.709808,24070.78325,3,3,null,3,null,null,2,2,3,null,3,3,null,null,22211.26059,null,51610,null,3,3,3,null,2,25377.73602,3,2,3,2807.675003,1104.065368
3767.404346,28735.1404,2,2,1014.92575,1,1387.847104,null,2,2,3,2456.486648,2,3,null,2221.628569,27459.14373,2292.181416,13050,null,3,3,3,1623.626084,2,29811.3398,3,2,3,2248.053653,1605.487606
3621.741818,32664.53663,2,2,2468.949463,2,1678.12107,1630.572994,2,2,2,3882.012403,2,2,286.2396406,2406.865571,29413.42863,2106.134907,13100,444.4175155,2,2,2,1532.469724,2,35926.34488,2,2,1,2108.021091,2065.382969
3898.928898,31915.83145,1,1,1382.469793,3,1752.269869,1262.752007,2,2,2,null,3,2,495.0967617,2635.634506,29535.27039,2345.570609,13310,null,3,3,3,2998.452067,2,34378.84255,2,1,2,1953.721799,2508.414014
3819.469089,32656.814,2,2,1939.903088,1,1600.393343,817.2424275,2,2,3,4341.147861,2,2,166.8029799,2486.643375,29971.3957,2688.647957,13320,562.879546,3,3,2,1378.146815,2,34939.66758,1,2,2,2517.24978,2014.589701
4728.278823,42429.33343,3,1,1663.780942,2,2233.139929,1089.909134,2,2,2,null,3,2,546.556664,4120.6279,40894.71876,3409.225899,13340,null,3,3,2,2983.88899,2,43283.63688,2,2,2,3054.144847,3169.696954
3686.00395,33331.08384,3,1,1432.84624,1,1767.323379,1106.764107,2,2,1,6819.695275,2,2,174.9202995,2520.942162,31316.54535,2500.160446,13380,566.8379147,3,3,2,1540.040775,2,34918.53842,1,2,3,2295.546007,2073.751865
4119.892054,36338.69712,2,2,1042.387929,2,2632.987691,1518.833096,3,2,2,6948.817299,2,2,450.4461218,3173.025118,34873.08142,2029.1579,13450,null,1,3,3,2531.860848,3,37805.35988,2,1,3,2116.363165,2568.199164
8273.101053,51985.34187,3,2,null,3,2898.457429,null,2,2,3,null,3,3,418.0434272,null,49671.09806,2586.2456,13500,null,3,3,2,null,2,54236.62542,1,2,3,2529.38628,5003.305972
4155.019409,30531.48448,3,2,null,2,1476.130255,1071.74781,2,2,3,null,3,3,258.9141962,2239.11797,27140.6911,2602.962142,13550,null,3,3,3,1955.488113,2,33912.23071,3,3,3,2001.136408,2300.212464
3157.606436,31190.35674,3,3,null,3,null,null,3,3,3,null,3,3,null,null,32046.55475,null,58190,null,3,3,3,null,3,29941.69775,3,3,3,null,null
3552.778619,31304.144,3,3,null,3,1570.056305,null,2,3,2,null,3,3,null,2555.788541,33337.18875,1366.654231,13650,null,3,3,3,2036.732569,2,29406.58562,3,2,3,2105.779288,3021.444075
3712.69429,33134.52673,2,3,1050.954504,3,1719.843872,null,1,2,2,null,3,2,null,2730.96404,30058.11108,1921.093236,13660,null,3,3,3,3229.718792,2,36045.50326,3,3,1,2660.535748,2321.785441
4714.517646,39733.24896,3,1,null,3,2414.48491,null,3,2,2,null,3,2,469.350161,null,40403.36781,1983.249913,13700,null,3,3,1,2869.364769,2,38459.45321,2,2,1,2689.846135,3600.681368
4216.140478,32012.93143,2,2,2449.292427,1,1762.04808,882.9386012,2,2,2,2302.536105,2,2,204.055388,2532.194108,28971.95632,2445.583491,13800,475.006613,3,2,3,1947.835332,2,35068.60205,3,2,1,2331.266319,2028.228678
6060.805748,47363.58404,3,2,null,3,3178.024527,null,2,2,3,null,3,2,633.5099867,null,45336.93387,2131.264036,13850,null,3,3,2,3786.683679,2,48805.94496,2,2,2,3305.034434,4057.461055
3921.330011,35911.26157,2,3,2078.905353,2,1919.632014,345.9623387,3,3,2,4537.963315,2,1,134.1126996,2522.569335,33144.59484,2041.770402,13950,592.3279264,2,3,2,1880.940447,3,38721.74857,2,3,2,1706.159481,2247.368328
3782.8673,33291.1358,2,2,1898.06783,2,1390.102151,1145.618871,2,2,2,2857.924338,2,2,203.0324034,1946.985976,30031.3407,2352.843022,14000,552.1204689,3,2,2,1413.322704,2,36479.54353,1,2,2,1600.902018,1772.041497
3720.653135,35073.77388,2,2,2301.391536,2,1389.829853,952.1268173,3,1,2,null,3,3,254.9776432,2246.101196,31300.42195,2291.355597,14100,null,3,3,1,1718.694428,3,39064.48998,3,2,2,1700.840771,1663.177843
3504.255075,31127.32169,2,3,1191.348688,2,1990.64001,620.5356752,2,2,2,3847.195375,2,2,172.9777129,2143.651666,28039.0426,2345.492902,14150,563.8137672,2,1,2,1561.574129,2,34142.00284,2,2,2,1509.701995,1910.940684
4130.762852,31347.91637,2,2,1025.258685,3,1429.685541,1284.610857,2,2,2,null,3,1,202.7171211,2786.945383,29243.78649,1788.703294,14200,null,3,3,3,2026.550008,2,33431.79471,3,2,3,2156.764906,2018.3983
4189.002947,34600.36445,3,3,null,3,1467.706636,null,3,1,2,null,3,3,null,null,28141.42113,1633.868346,14250,null,3,3,3,null,3,42598.95008,3,3,3,2466.175199,null
4177.928652,42320.85616,2,2,785.5338109,2,2698.138527,1417.164339,2,2,3,null,3,2,365.813073,4408.931777,36997.6162,2926.572044,14300,null,3,3,3,2827.988593,2,50705.11475,1,2,3,2457.55975,4745.254922
5466.459374,42858.6577,2,2,1742.764682,2,2913.308797,494.3272304,2,2,2,7842.169498,2,2,187.6148487,4849.752639,38547.3128,2087.894915,14350,null,2,3,2,3155.684788,2,47046.89114,3,2,3,2071.442235,3071.582143
4612.162294,33800.41084,3,3,1618.990995,2,1744.859277,1266.046816,2,3,2,null,3,2,321.535477,3002.252997,32290.17945,2273.600547,14400,597.1592409,3,3,2,1558.796914,2,35182.35155,2,3,3,2011.391952,2198.291826
3186.529491,29576.16011,2,2,1276.110389,2,1696.244023,655.964447,2,2,2,null,3,2,157.4013936,2009.217146,26383.3362,2102.730594,14450,556.8817825,2,1,2,1509.866581,2,32633.05641,2,2,2,1532.838242,1854.634076
3894.204922,41275.92523,2,2,2355.005673,2,1591.573111,1663.740293,2,2,2,4263.516839,2,2,254.9334766,2100.166797,35587.05214,2467.621201,14500,490.7708793,2,2,2,1408.537689,2,46716.23021,1,2,2,1849.272524,1665.84425
3663.324638,34112.91424,2,1,998.9865179,3,2184.518579,972.414746,1,3,2,null,3,2,251.6518078,2830.605272,31597.91143,2123.327574,14550,null,3,3,1,2469.995384,2,36466.46792,3,3,2,1778.050976,2536.730957
4104.217403,41482.42812,3,3,null,2,2067.578604,1001.446122,2,2,3,null,3,2,426.5716811,4684.544679,36163.06872,2451.82193,14600,null,3,3,3,3366.254833,2,46612.3828,2,2,2,2801.362926,3260.549411
3433.004942,32333.441,2,2,1900.786058,2,2143.094815,850.2168582,2,2,2,4632.716861,2,2,179.6053777,2434.585591,29318.72737,2379.881471,14650,403.9003268,2,2,2,1301.626131,2,35314.08669,2,2,2,2344.044233,1825.695265
4070.735162,27623.90639,3,3,null,3,1817.348514,null,2,3,1,null,3,3,null,null,33446.6932,1519.422964,54760,null,3,3,3,null,2,21264.56258,3,1,3,2892.869673,1209.868549
3304.719506,36264.14532,2,2,2943.862269,3,1515.589821,1637.034241,2,2,2,4562.284023,2,2,258.2495809,2560.1556,31412.28224,2384.768497,14700,420.1454027,2,2,2,1430.878439,1,41025.25312,3,2,2,1634.962263,1790.528227
4547.848454,40178.59658,3,2,1386.172644,2,2632.120195,912.130892,2,2,2,null,3,2,342.5153876,4038.459496,37807.5632,1986.072653,14750,null,3,3,1,2890.334721,2,42473.43173,2,2,2,2787.102518,3456.620861
3504.923099,31872.14995,2,2,2087.866958,2,1606.447405,1244.078039,2,2,2,2136.694552,2,2,180.3154407,2186.797197,28488.68563,2035.689014,14800,463.9495551,3,2,2,1462.386614,2,34688.42998,1,2,2,1720.544528,1604.763374
3848.852905,36528.17598,2,1,1359.656029,3,2049.784938,590.0554653,2,3,3,7554.76529,2,3,200.7071097,2785.147147,32943.13281,2517.679772,14850,625.5169824,2,3,1,1859.677074,2,39989.82827,3,3,2,1864.934155,2291.574503
4689.549289,35488.49265,2,3,1914.063994,2,1954.458598,749.750089,3,3,3,916.819433,2,2,400.9805959,3081.241976,32678.39124,2614.561121,14870,935.4789149,3,2,2,2323.745866,3,38363.84527,2,3,2,1912.732199,2443.207416
3654.140317,29195.24829,2,2,1031.862046,2,1782.305463,583.9799362,2,2,2,7339.50704,2,2,238.7382771,2187.902579,26572.86883,1897.820803,14900,547.4717333,2,2,2,1927.846087,2,31685.93204,3,2,2,1744.24962,2035.775527
4983.163941,31528.36074,3,1,null,3,1591.216139,null,2,2,3,null,3,1,189.5957351,2620.169565,29332.12558,2688.952758,14920,null,3,3,2,2159.761206,2,33421.5472,3,1,3,2307.187942,2012.475307
5562.864085,44373.4991,3,2,1095.660271,2,2815.821347,null,2,2,3,null,3,2,null,3912.568761,37125.51167,2165.586713,14950,null,3,3,2,2996.474552,2,51975.6323,3,2,2,3700.642144,3684.176401
3483.537819,34633.44466,2,2,1292.398947,2,2468.236281,807.4189766,2,3,3,5778.689534,2,3,181.4331524,2293.270666,32181.9901,2741.248036,15050,433.4250523,2,2,2,1783.923469,2,37077.65763,2,2,2,2692.406343,2554.121391
null,null,null,null,null,null,null,null,null,null,null,null,null,null,144.9893639,null,null,null,61210,null,3,null,null,null,null,null,3,null,null,null,null
3521.096704,39545.55255,2,2,2302.630027,1,1588.032225,1832.839247,2,2,3,4197.691205,2,2,262.0428053,2483.903375,35361.83071,2795.595726,15150,479.4775762,2,2,2,1601.294112,2,43551.56635,3,2,2,1920.829878,2101.937547
