HI_2500_2999_Tot,HI_600_799_Tot,HI_4000_more_Tot,Negative_Nil_income_Tot,HI_3500_3999_Tot,HI_1500_1999_Tot,Tot_Tot,HI_1_199_Tot,HI_400_599_Tot,HI_800_999_Tot,HI_300_399_Tot,HI_2000_2499_Tot,HI_200_299_Tot,HI_3000_3499_Tot,HI_1250_1499_Tot,HI_1000_1249_Tot,area_code
90,226,18,29,20,171,2001,46,294,217,214,83,78,30,125,149,13050
3970,5695,1262,603,987,6786,61295,901,6820,5070,4794,4575,1764,2402,4290,4823,13100
504,1014,138,108,104,1163,10454,184,1263,883,925,777,396,321,728,874,13310
391,1996,108,185,65,985,14308,318,2560,1552,1493,517,527,209,867,983,13320
164,360,43,49,22,375,3612,83,457,334,317,239,111,80,275,316,13340
460,2330,104,197,90,1498,18161,380,2899,1795,1933,855,762,271,1217,1524,13380
395,828,116,116,98,1023,8452,169,894,711,564,648,285,226,720,713,13450
46,153,21,23,7,143,1404,27,165,134,139,87,45,24,102,125,13500
247,458,63,48,33,464,4486,81,580,382,405,259,157,149,346,310,13550
34,192,11,28,4,136,1613,34,212,168,157,67,73,17,122,161,13650
44,222,12,50,11,133,2020,64,311,214,236,90,78,32,123,141,13660
33,156,18,30,5,134,1436,27,221,117,165,66,54,19,94,115,13700
1574,1535,696,225,457,2725,20845,281,1595,1544,1083,2108,423,982,1653,1716,13800
34,138,11,15,3,78,1165,32,133,112,124,56,54,16,76,99,13850
2251,2783,874,435,594,4058,33012,584,3010,2621,2054,2818,1008,1325,2535,2864,13950
6427,3096,4098,696,2290,5714,52671,686,3088,3199,1902,4521,795,4373,3215,3340,14000
623,217,611,81,208,360,4489,45,232,227,204,272,125,367,209,198,14100
2081,2242,1115,523,681,3124,27548,446,2351,2105,1614,2397,727,1376,1941,2175,14150
138,776,59,103,39,517,6083,140,912,619,562,290,235,89,415,499,14200
14,60,0,19,3,64,545,6,70,53,51,19,17,7,33,48,14250
65,202,12,32,11,183,1886,38,231,150,180,123,68,61,146,154,14300
284,1344,60,108,40,809,10614,230,1753,1088,1166,445,476,118,655,892,14350
590,674,230,55,163,828,7412,97,738,664,434,588,166,379,485,508,14400
1734,1386,1128,391,593,2252,19348,294,1438,1387,856,1661,379,1109,1302,1425,14450
5599,1510,4851,548,2023,2983,35777,381,1525,1759,839,2258,360,3380,1832,1672,14500
97,447,13,39,20,251,3604,89,628,384,411,141,195,35,226,270,14550
72,259,33,71,14,243,2472,66,296,231,235,117,90,45,160,197,14600
4659,6616,1656,593,1295,7794,70560,905,7902,5680,5547,5599,1873,3081,4718,5290,14650
1755,508,1435,149,611,1205,11882,128,547,579,405,893,185,1007,660,686,14700
150,402,26,51,16,433,3788,79,459,327,291,262,130,103,303,342,14750
3322,984,2819,226,1045,2037,21316,236,969,929,929,1380,497,1778,1148,1097,14800
604,1859,146,164,97,1710,16343,290,2137,1588,1435,958,693,356,1288,1538,14850
487,780,114,78,128,731,7787,159,1069,618,774,420,358,295,446,561,14870
3686,4283,1488,641,1106,6545,53593,942,4364,3942,2728,5355,1571,2339,4062,4528,14900
118,351,30,36,18,256,2950,63,434,275,283,131,136,48,201,228,14920
38,126,11,20,7,97,1127,21,148,122,94,58,42,17,97,88,14950
2053,2037,648,197,529,2927,24098,275,2246,1784,1634,2137,557,1192,1658,1862,15050
2445,733,1792,182,766,1428,15133,150,723,764,504,1047,221,1189,795,804,15150
3193,1878,1853,386,1043,3657,29977,376,1960,1823,1402,2657,761,1991,2091,2182,15200
533,807,130,114,97,789,8363,161,1051,692,816,498,283,305,524,563,15270
217,431,91,80,41,477,4661,103,438,415,309,323,162,156,385,410,15300
2015,478,1487,159,472,973,10742,113,469,518,315,531,142,819,603,564,15350
101,325,24,44,18,237,2708,37,401,267,248,149,86,72,188,207,15500
31,98,3,20,3,88,836,10,104,97,69,51,31,11,56,77,15550
666,443,202,53,135,595,5532,76,463,368,329,402,149,338,386,376,15650
138,1054,53,79,14,530,7616,156,1349,811,947,249,375,82,434,601,15700
248,464,66,76,47,483,4786,81,536,393,397,331,162,121,360,378,15750
61,248,17,29,11,190,2246,52,312,231,234,140,99,33,150,161,15800
82,257,21,47,19,234,2449,53,305,216,249,135,98,47,181,188,15850
4280,4963,1543,585,1116,6510,58450,797,5633,4344,4938,4741,2072,2626,3976,4491,15900
5270,1139,3186,435,1334,3167,28429,251,1166,1346,824,1786,451,2197,1807,1710,15950
85,187,25,28,13,224,1888,30,209,188,140,125,68,57,138,167,16100
938,1214,366,129,254,1595,13863,220,1374,1043,1054,1077,439,565,996,1097,16150
469,283,411,52,216,553,4847,63,291,293,194,473,59,385,317,267,16180
249,540,57,64,50,512,5402,125,692,438,591,316,212,154,361,438,16200
4393,4498,1834,958,1258,6853,56703,1044,4545,4282,3207,4928,1798,2699,4299,4635,16250
4442,4449,1681,547,1222,8124,59391,699,4460,4288,3021,6487,1337,2817,4676,5093,16350
2398,1132,1491,242,755,2083,19774,211,1167,1241,661,1744,264,1531,1224,1209,16370
1080,3569,280,281,242,2551,29062,541,4398,2974,2754,1519,999,678,1984,2317,16380
1333,2464,378,239,280,2601,23976,327,2993,2170,1888,1790,677,739,1730,1896,16400
1349,836,921,102,518,1823,14112,108,848,840,724,1398,292,991,1044,1047,16470
5082,2775,3548,1340,1729,4795,47563,846,3067,2819,2465,3741,1340,3148,2926,2969,16550
173,1057,33,83,28,763,8459,185,1306,888,878,428,337,86,589,751,16610
2535,2730,1132,653,763,4170,34410,596,2967,2628,1991,3015,858,1592,2537,2783,16650
3776,2454,2176,945,1214,4180,37677,590,2745,2531,1933,3053,936,2418,2593,2774,16700
1426,1995,375,186,337,2718,22436,313,2575,1780,1658,1936,686,852,1572,1700,16900
1154,4265,302,368,259,3114,35933,708,5593,3641,3423,1864,1289,748,2480,2884,16950
1092,453,394,71,272,902,7758,107,537,448,380,567,175,571,483,440,17000
143,220,38,27,28,269,2365,34,215,209,147,203,68,90,200,225,17050
59,333,14,48,7,195,2686,93,433,251,326,89,137,37,156,206,17400
6906,2616,4740,557,2631,6095,53297,541,2505,2920,1319,5129,593,4900,3235,3028,17420
53,147,13,24,4,117,1292,36,150,125,108,75,49,29,101,102,17450
203,436,39,47,40,444,4198,95,512,368,391,264,154,98,351,338,17500
1204,4007,325,407,244,3082,33657,595,5014,3293,3062,1884,1199,641,2361,2745,17550
381,549,101,64,62,594,5245,79,565,393,427,342,138,233,343,384,17620
1216,2035,370,204,256,2724,21715,323,2107,1804,1461,1875,661,781,1732,1877,17750
45,163,12,46,7,139,1515,42,215,154,130,61,55,21,104,111,17800
41,141,16,26,7,111,1217,29,155,96,116,67,42,17,75,114,17850
76,249,28,65,14,168,2492,66,302,183,358,104,152,52,146,183,17900
36,122,9,21,8,109,1104,28,112,101,119,65,36,15,79,98,17950
5868,2981,3514,480,1946,5684,50637,568,3279,3314,2100,4444,851,3752,3318,3276,18000
68,268,13,48,9,203,2290,30,355,252,262,103,92,36,157,162,17350
942,1912,280,192,201,2128,18617,288,2086,1628,1505,1514,623,562,1342,1579,10050
441,921,124,100,107,934,8589,171,949,771,661,606,303,268,611,733,10110
133,272,34,41,21,274,2799,93,329,245,246,207,79,52,194,257,17640
74,235,20,22,23,231,2203,38,299,216,171,136,70,52,176,196,17650
12,48,3,8,0,35,446,14,69,46,52,15,15,0,29,36,17700
132,625,31,60,21,415,5010,106,787,536,479,230,201,83,322,412,10600
93,371,24,61,11,264,3247,72,506,341,343,152,125,51,198,264,10650
7233,7096,2706,988,2119,12253,93659,1366,7246,6581,4773,9961,2395,4553,7071,7615,10750
107,232,30,52,18,209,2262,49,291,237,193,116,89,40,164,171,10800
142,226,57,23,44,297,2549,29,271,207,221,162,80,108,185,206,10850
2244,2321,841,237,564,3299,28030,375,2596,2204,1825,2419,717,1496,1966,2241,10900
57,100,15,21,6,110,1050,23,123,72,99,55,40,19,72,78,10950
34,135,3,15,3,87,1004,31,123,107,99,56,42,8,61,86,11000
39,111,10,19,3,84,967,27,141,71,114,43,29,24,83,68,11050
1010,1121,526,222,326,1568,14118,256,1188,934,1015,1171,535,738,980,1082,11100
47,77,12,12,9,99,939,15,79,73,68,63,27,21,65,87,11150
21,65,3,16,0,48,575,22,60,47,57,31,26,16,25,51,11200
296,817,66,67,58,637,7436,123,1035,613,971,391,326,204,430,532,11250
17,55,10,22,4,65,548,14,62,58,21,32,18,6,44,48,11860
54,152,22,21,11,146,1490,24,224,132,153,75,49,29,104,117,12000
212,380,62,38,35,384,3828,92,454,378,348,240,135,125,254,301,12050
46,165,20,23,8,108,1537,22,205,147,160,74,75,27,103,124,12150
1418,1083,777,267,406,1827,15294,257,1127,1063,774,1284,376,832,1152,1249,10150
1475,2095,618,552,440,2418,22080,461,2010,1788,1061,1730,628,821,1625,1903,10200
640,1791,203,172,137,1566,15595,203,2004,1594,1322,967,448,437,1167,1316,10250
27,105,11,14,5,87,829,9,93,84,69,47,28,15,59,74,10300
3296,5327,1471,848,1021,6129,57237,1150,5864,4515,4004,4528,2039,2099,3974,4660,10350
886,1256,258,117,176,1598,13655,195,1402,1125,990,1183,430,544,1023,1099,10470
383,1517,78,139,70,1168,12675,258,1806,1386,1163,690,445,222,864,1127,10550
101,353,27,33,16,236,2953,46,460,244,353,160,123,52,204,219,12200
129,465,38,56,19,430,4408,91,667,460,382,269,145,77,364,363,12300
990,2958,277,256,215,2590,26075,397,3594,2551,2203,1664,997,571,1839,2321,11800
130,528,40,61,14,367,4741,102,704,471,529,220,209,89,327,395,12350
92,320,26,26,13,282,2912,59,381,270,301,164,109,53,229,220,12500
735,1321,238,122,167,1638,14038,195,1419,1232,989,1139,418,449,1063,1163,12600
186,331,51,31,46,323,3116,51,377,245,264,211,81,105,224,243,12700
404,1790,79,158,63,1133,14336,280,2382,1600,1363,612,551,199,945,1230,12750
2562,5726,1143,997,877,5878,55835,1222,6034,4608,3550,4110,2057,1546,4118,4787,12850
116,414,36,53,25,292,3563,79,472,363,361,207,141,58,248,296,12900
49,204,7,20,11,132,1648,34,223,160,172,66,76,30,100,116,12950
72,409,24,57,15,272,3465,103,550,355,390,146,161,37,217,268,13010
83,456,29,68,16,256,3663,95,599,312,454,132,160,53,201,256,18020
3433,1250,2554,416,1075,2478,24869,255,1294,1385,1053,1766,489,1761,1419,1422,18050
28,206,10,25,9,97,1505,29,234,150,181,72,70,27,84,110,18100
87,352,27,36,17,217,3062,57,423,286,398,168,133,57,182,240,18150
80,268,31,45,24,224,2460,54,317,232,217,136,78,53,189,209,18200
3689,1137,2821,638,1158,2453,24701,390,1239,1312,755,1635,416,1862,1444,1405,18250
1076,1573,365,187,257,1834,16692,249,1762,1558,1131,1181,434,568,1269,1421,18350
1154,981,519,136,374,1791,13952,159,1024,1009,593,1411,272,817,1043,1017,18400
4961,6196,1817,1070,1291,7671,71765,1315,7803,5376,5812,5600,2632,3280,4621,5089,18450
3370,823,2916,374,924,1814,20463,208,865,974,601,1153,273,1596,1086,1106,18500
2515,5914,636,561,581,5789,55911,852,7538,4865,4949,4025,1860,1503,3887,4416,18550
472,326,306,47,184,619,5179,64,337,329,224,506,89,380,339,407,18710
152,558,45,60,16,425,4573,92,636,449,467,213,177,84,301,352,18750
830,756,554,335,278,1188,10728,225,916,768,557,840,295,532,763,761,11300
445,1263,152,151,77,991,11198,189,1398,1157,944,595,478,270,798,936,11350
233,406,71,74,71,466,4705,90,503,395,378,369,166,177,340,411,11400
1806,1064,765,160,562,2558,17874,186,1058,1075,671,2329,239,1213,1233,1215,11450
2999,4007,1115,473,887,5978,47286,655,4079,3584,2798,4670,1272,1730,3758,4248,11500
3551,1447,2460,606,1229,3010,28016,403,1695,1478,1237,2193,570,2119,1605,1689,11520
2388,4464,1047,928,729,4871,45928,975,4997,3853,3053,3084,1708,1506,3346,3954,11550
29,101,10,25,4,96,985,20,109,89,81,75,24,21,71,92,11600
26,88,7,7,3,50,741,22,81,76,86,29,40,17,48,63,11700
1260,1808,296,194,246,1939,18230,257,2085,1418,1562,1258,562,689,1243,1427,11720
490,2429,120,207,79,1561,19256,407,3177,1978,1941,857,815,289,1237,1605,11730
197,126,44,26,42,174,1721,28,162,103,132,105,53,85,106,126,11750
899,839,785,308,331,1253,11379,185,823,739,553,971,291,615,784,818,17100
7978,4813,4467,641,2702,8608,75349,789,5014,4932,3551,7344,1352,5695,4821,4896,17150
10146,3938,5602,2555,2742,7912,73170,1233,3787,3961,3596,4911,2715,4312,4665,4781,17200
889,2316,263,218,187,2177,21141,313,2631,1901,1733,1481,692,571,1623,1830,17310
26,37,7,9,0,35,390,8,41,46,21,17,11,8,34,26,19399
155,557,40,53,20,419,4738,103,685,479,473,293,190,63,332,404,20110
154,539,24,60,20,382,4329,79,612,422,410,279,147,63,313,371,20260
1712,3807,472,303,364,3866,35745,532,4231,3266,2983,2626,1208,965,2772,3184,20570
3921,3267,1730,535,1139,5102,43698,594,3469,3188,2434,4027,1067,2471,3159,3330,20660
602,1282,148,132,100,1036,11859,238,1697,1194,1182,608,454,216,758,988,20740
812,1599,247,183,161,1796,15981,288,1867,1447,1146,1167,447,482,1233,1347,20830
4536,1896,2894,383,1385,2980,33270,424,2197,1885,1597,2250,654,2624,1830,1912,20910
159,717,41,63,31,522,5540,109,785,522,543,343,201,93,391,477,21010
7271,2953,5640,1082,2618,5454,57231,831,3247,3177,2202,4067,978,4714,3353,3353,21110
3092,5369,1034,993,822,6830,58772,1121,5981,4897,3487,4947,1823,1770,4398,5258,21180
